Time,Hot Water,Space Heat,Electricity,Charge
345,187.3336573,10529.95879,720.0345,300
346,187.3336573,8850.904513,684.4095,300
347,187.3336573,7690.206514,839.388,300
348,187.3336573,6647.484491,241.0015,300
349,958.4725689,5664.726019,797.999,300
350,230.7126418,5168.482353,252.0525,300
351,187.3336573,5476.729191,460.52975,300
352,187.3336573,5888.35519,386.69325,300
353,187.3336573,6304.679101,1131.52225,300
354,419.7210742,6410.380325,411.43725,300
355,778.3723208,6353.851422,650.1535,300
356,504.5424813,6604.283892,1134.41025,300
357,259.3737566,7292.380578,1860.2835,300
358,727.6344015,7483.702857,689.74475,300
359,187.3336573,5627.626461,488.75075,300
360,187.3336573,2851.24285,366.57075,300
361,187.5686091,4216.895787,299.06625,300
362,187.5692635,5130.425611,415.683,300
363,187.5692635,5884.8133,561.61,300
364,187.5692635,6385.373278,251.97175,300
365,187.5692635,6700.212722,250.44575,300
366,187.5692635,6893.836545,249.037,300
367,259.6999663,9109.640207,322.69,300
368,2521.346517,11928.53782,412.39325,300
369,1126.043998,10233.73993,605.17425,300
370,187.5692635,8975.385613,537.52275,300
371,187.5692635,7943.33968,543.73825,300
372,187.5692635,6884.328855,224.54375,300
373,187.5692635,5983.233871,240.865,300
374,187.5692635,5571.36752,826.9395,300
375,187.5692635,5442.763875,918.47625,300
376,187.5692635,5579.210774,251.7915,300
377,187.5692635,6522.305043,290.57425,300
378,393.8785854,7028.267982,376.23725,300
379,950.7586347,7345.59833,855.636,300
380,1986.958838,7770.915345,428.41375,300
381,187.5692635,8252.564609,600.35675,300
382,187.5692635,8582.428997,473.635,300
383,187.5692635,6692.804101,475.337,300
384,187.5692635,3782.809021,365.20675,300
385,187.7998515,5010.076064,284.57775,300
386,187.8004938,5968.88028,250.4405,300
387,849.8137096,6647.060503,250.9735,300
388,187.8004938,7132.203605,249.82475,300
389,187.8004938,7496.930904,252.15725,300
390,187.8004938,7714.438116,255.19825,300
391,1775.079101,9882.631525,324.754,300
392,221.5806403,12958.11074,348.42625,300
393,3019.896914,11777.88334,353.6845,300
394,187.8004938,10499.73209,350.588,300
395,187.8004938,9149.797862,678.64775,300
396,614.9057943,8058.832094,434.54525,300
397,187.8004938,7308.546024,473.56075,300
398,187.8004938,6638.605305,474.47625,300
399,187.8004938,5785.936195,1000.42975,300
400,4014.663986,5657.980996,270.53775,300
401,187.8004938,6689.684281,301.415,300
402,933.293382,6817.176449,293.76975,300
403,1849.822529,6441.251746,1035.63675,300
404,1219.065656,7030.667503,1178.98625,300
405,4584.849562,7462.293876,1275.88525,300
406,187.8004938,6980.687765,987.2065,300
407,187.8004938,4581.962731,642.74925,300
408,187.8004938,2448.597486,639.25425,300
409,188.0266802,3725.196479,570.785,300
410,188.0273103,4486.448118,508.2085,300
411,188.0273103,4986.204209,237.56375,300
412,188.0273103,5412.464705,216.9625,300
413,188.0273103,5688.515364,246.77425,300
